trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
46,trial,Sp,4,It,42,soundFiles/Spanish/normalized/common_voice_es_18311468.wav,soundFiles/Italian/normalized/common_voice_it_17435389.wav,949474,Tue Jun 22 2021 14:53:11 GMT+0100 (British Summer Time),857.1000000014902,1
47,trial,It,20,Du,30,soundFiles/Italian/normalized/common_voice_it_17420149.wav,soundFiles/Dutch/normalized/common_voice_nl_17695071.wav,959911,Tue Jun 22 2021 14:53:22 GMT+0100 (British Summer Time),2568.800000000745,1
48,trial,Ge,48,En,32,soundFiles/German/normalized/common_voice_de_18345073.wav,soundFiles/English/normalized/common_voice_en_26013.wav,970358,Tue Jun 22 2021 14:53:32 GMT+0100 (British Summer Time),1079.0999999996277,1
49,trial,En,42,It,33,soundFiles/English/normalized/common_voice_en_34328.wav,soundFiles/Italian/normalized/common_voice_it_17429496.wav,985236,Tue Jun 22 2021 14:53:47 GMT+0100 (British Summer Time),1885.5999999996275,1
50,trial,Du,20,Du,7,soundFiles/Dutch/normalized/common_voice_nl_17694695.wav,soundFiles/Dutch/normalized/common_voice_nl_17694052.wav,996728,Tue Jun 22 2021 14:53:59 GMT+0100 (British Summer Time),3434.0,7
51,trial,Du,6,Ja,2,soundFiles/Dutch/normalized/common_voice_nl_17694005.wav,soundFiles/Japanese/normalized/common_voice_ja_19485592.wav,1005308,Tue Jun 22 2021 14:54:07 GMT+0100 (British Summer Time),2778.800000000745,1
52,trial,It,32,It,39,soundFiles/Italian/normalized/common_voice_it_17429468.wav,soundFiles/Italian/normalized/common_voice_it_17433572.wav,1015317,Tue Jun 22 2021 14:54:17 GMT+0100 (British Summer Time),1176.0,7
53,trial,Ta,25,Du,28,soundFiles/Tamil/normalized/common_voice_ta_19385685.wav,soundFiles/Dutch/normalized/common_voice_nl_17694995.wav,1024785,Tue Jun 22 2021 14:54:27 GMT+0100 (British Summer Time),1959.0,1
54,trial,En,36,Ja,13,soundFiles/English/normalized/common_voice_en_27414.wav,soundFiles/Japanese/normalized/common_voice_ja_19780254.wav,1034117,Tue Jun 22 2021 14:54:36 GMT+0100 (British Summer Time),1955.7000000011176,1
55,trial,It,6,Ge,21,soundFiles/Italian/normalized/common_voice_it_17416011.wav,soundFiles/German/normalized/common_voice_de_17827912.wav,1047207,Tue Jun 22 2021 14:54:49 GMT+0100 (British Summer Time),2780.5999999996275,7
